OID,STREET_COD,STREET_NAM,NEIGH
123,126,בוסל יוסף,קריית חיים מערבית
124,673,בועז,כרמליה
125,1037,בורוכוב,רמות רמז
126,1096,בורלא יהודה,רמות רמז
127,864,ביאליק,הדר
128,418,ביילהרץ פרידריך,המושבה הגרמנית
129,594,בייליס מנחם מנדל,כרמליה
130,643,ביכורים,כרמל מרכזי
131,311,"ביל""ו",עיר תחתית מזרח - הדר
132,179,בילינסון,קריית חיים מזרחית
133,795,"בירם ד""ר",ציר דניה - רמת אלון
134,727,בית אל,רמת התשבי
135,239,בית אלפא,קריית חיים מערבית
136,741,בית לחם,כרמל צרפתי
137,332,בית שאן,ואדי סאליב
138,809,בית שערים,הדר
139,934,ביתר,גאולה
140,281,בל אלכסנדר גרהם,מפרץ חיפה
141,958,בלום לאון,רמת הדר
142,1218,בליטנטל משה,רמת אלמוגי
143,825,בלפור,הדר
144,1058,בן ארצי,זיו
145,936,בן בבא,גאולה
146,399,בן גוריון,המושבה הגרמנית
147,966,בן הרוש דוד,ואדי סאליב
148,920,בן זכאי,הדר
149,838,בן יהודה,הדר
150,266,בן יוסף שלמה,מפרץ חיפה
151,468,בן יעקב צבי,רמת בגין
152,313,בן עדיה שמואל,עיר תחתית מזרח
153,185,בן צבי יצחק,קריית חיים מזרחית
154,980,בן צור שמואל,שער העליה
155,1054,בן ציון שמחה,זיו
156,1089,בן שבת שמואל,נוה יוסף
157,842,בן שמן,הדר
158,952,בני אור,כרמל מרכזי
159,470,בני ברית,רמת בגין
160,534,בנימין,בת גלים
161,1094,בנין זאב,נוה פז
162,252,בעל התניא,קריית שמואל
163,913,בעל שם טוב,הדר
164,197,בעלי מלאכה,מפרץ חיפה
165,933,בצלאל,גאולה
166,411,בצרה,ואדי ניסנאס
167,155,בר אילן,קריית שמואל
168,822,בר גיורא,הדר
169,191,בר יהודה ישראל,ציר עיר תחתית - מפרץ חיפה
170,935,בר כוכבא,גאולה
171,569,בר רב האי דוד,קריית שפרינצק
172,265,ברודסקי זאב,קריית חיים מזרחית
173,858,ברוולד,הדר
174,446,ברון הירש,קריית אליעזר
175,888,ברוריה,הדר
176,943,ברזילי,"יל""ג"
177,1180,ברכת משה,"גאולה, רמת ויז'ניץ"
178,1051,ברל כצנלסון,נוה שאנן
179,717,ברנדייס,כרמל
181,770,ברנר,רמות רמז
182,491,ברנשטיין פרץ,רמת אשכול
183,953,ברק,הדר
184,270,ברקת,מפרץ חיפה
185,1079,בשור,נוה יוסף
186,546,בת גלים,בת גלים
187,1410,בת חן,רמת חן
188,388,ג'למה,ואדי ניסנאס
189,919,גאולה,גאולה
190,495,גאולי תימן,רמת אשכול
191,630,גבעון,אחוזה
192,605,גבעת דאונס,אחוזה
193,1077,גדליהו,נוה שאנן
194,514,"גדנ""ע",קריית אליעזר
195,839,גדעון,הדר
196,814,גדרה,כרמל מרכזי
197,1401,גוטל לוין,רמת ספיר
944,419,גוטליב שומכר,מושבה גרמנית
198,782,גולדברג לאה,הוד הכרמל
640,483,גולדה מאיר,רמת גולדה
199,1466,גולדמן נחום,רמת אלמוגי
200,816,גולומב אליהו,הדר
201,1084,גולן שמחה,ציר רוממה - יזרעאליה
202,993,גור יהודה,הוד הכרמל
203,1036,גורדון,רמות רמז
204,217,גורדוניה,קריית חיים מזרחית
205,1506,גורן שלמה הרב,קריית שמואל
206,884,גוש חלב,הדר
207,1004,גוש עציון,חליסה
208,250,גזאל,א.ת. חוף שמן
209,496,גיבורי גיטו ורשה,רמת אשכול
210,697,גלאל אל דין,כבאביר
211,1033,גלבוע,"נוה שאנן, זיו"
212,675,גלגל,כרמליה
213,1387,גלוברמן יהושע,סביוני הכרמל
214,1056,גנסין,זיו
215,1504,גץ יצחק,קריית שמואל
216,762,גרינבוים יצחק,הוד הכרמל
217,469,גרינברג אורי צבי,רמת בגין
218,474,גרינשפון הרצל,מפרץ חיפה
219,613,גת,אחוזה
220,622,ד'ישראלי,אחוזה
221,500,דאהר אל עמר,חיפה אל עתיקה
222,889,דבורה,הדר
223,110,דגניה,קריית חיים מערבית
224,1092,דובנוב,רמות רמז
225,1140,דובר שלום,הדר
226,373,דוברין נחום,עיר תחתית
227,507,דוגית,0
228,559,דוד המלך,נוה דוד
695,744,דוד מרכוס,כרמל צרפתי
229,1413,דוכיפת,רמת חן
230,1002,דולצ'ין אריה,נוה יוסף
231,926,דוניה טוביה,הדר
232,1160,דוסטרובסקי אליעזר,אחוזה
233,1039,דורות,רמות רמז
234,1099,"דורי יעקב רא""ל",ציר נוה שאנן - נוה פז
235,288,דיין משה,הקישון
236,862,דניאל,הדר
237,768,דניה,הוד הכרמל
238,168,דנינו אברהם,קריית חיים מזרחית
239,723,דפנה,כרמל
240,510,דרור,קריית אליעזר
241,732,דרייפוס,קריית שפרינצק
243,690,הים,כרמל מערבי
244,152,האבות,קריית שמואל
245,751,האג,הוד הכרמל
246,364,האיטלקים,עיר תחתית
247,242,האיצטדיון,מפרץ חיפה
248,985,האלה,שער העליה
249,595,האלון,כרמל מערבי
250,151,האמהות,קריית שמואל
251,138,האמונה,קריית שמואל
252,147,האמוראים,קריית שמואל
253,917,האסיף,כרמל מרכזי
254,1101,"האר""י",מעונות גאולה
255,127,הארזים,קריית חיים מערבית
256,984,האשחר,שער העליה
257,123,האשל,קריית חיים מערבית
258,274,האשלג,מפרץ חיפה
259,171,האתרוג,קריית שמואל
260,223,הבונים החופשיים,מפרץ חיפה
261,349,הבוסתן,הדר
262,1251,הבישוף חג'אר,הדר
263,202,הבניה,מפרץ חיפה
264,1021,הבנים,נוה שאנן
265,355,הבנקים,עיר תחתית
266,555,הבסטיליה,קריית שפרינצק
267,652,הברושים,כרמל מרכזי
268,1029,הברכה,נוה שאנן
269,218,הבשן,חוף שמן
270,149,הגאונים,קריית שמואל
271,303,הגבורים,ציר עיר תחתית - חליסה
272,292,הגביש,מפרץ חיפה
273,160,הגדוד העברי,קריית חיים מזרחית
274,1020,הגליל,נוה שאנן
275,415,הגנים,המושבה הגרמנית
276,413,הגפן,ציר הדר - המושבה הגרמנית
277,246,הדגן,מפרץ חיפה
278,783,הדולב,כרמל מערבי
279,285,הדייגים,הקישון
280,706,הדסים,כרמל מרכזי
281,873,הדר,הדר
282,275,הדשנים,מפרץ חיפה
283,552,ההגה,עין הים
284,1161,ההגנה,ציר עיר תחתית - חוף הכרמל
285,130,ההדס,קריית שמואל
286,195,ההסתדרות,ציר מפרץ חיפה
287,393,הואדי,ואדי ניסנאס
288,1207,הוברמן ברוניסלב,הוד הכרמל
289,2675,הוד,נאות פרס
290,532,הוז דב,בת גלים
291,766,הויסמנס קמיל,הוד הכרמל
292,755,הולנד,הוד הכרמל
293,749,הולצברג שמחה,קריית שפרינצק
294,685,הורדים,כרמל מרכזי
295,233,הותיקים,קריית חיים מערבית
296,1216,הזז חיים,סביוני הכרמל
297,523,הזית,קריית אליעזר
662,618,הזמיר,אחוזה
298,131,החבצלת,קרית חיים מערבית
299,511,החותרים,קריית אליעזר
300,528,"החי""ל",בת גלים
301,296,החיטה,מפרץ חיפה
302,987,החיננית,שער העליה
303,859,החלוץ,הדר
304,212,החרושת,מפרץ חיפה
305,294,החרמש,אזור תעשיה
306,203,החרש,מפרץ חיפה
307,815,החשמונאים,"כרמל מרכזי, הדר"
308,1015,החשמל,נוה פז
309,659,הטנא,כרמל מרכזי
310,743,היובל,כרמל צרפתי
311,286,היוצק,מפרץ חיפה
595,6005,היינה הינריך,אחוזה
312,264,הים התיכון,קריית שמואל
313,458,היסמין,רמת בגין
314,204,היצירה,מפרץ חיפה
315,1008,הירדן,תל עמל
316,420,הירוק,הדר
317,305,הירמוך,עיר תחתית מזרח
318,667,הירקון,אחוזה
319,175,הישיבה,קריית שמואל
320,530,הכג,בת גלים
321,796,הכרמים,הדר
322,1065,הכשרת הישוב,סביוני הכרמל
323,1038,"הל""ה",רמות רמז
611,894,הלבונה,כבאביר
324,136,הלולב,קריית שמואל
325,983,הליבנה,שער העליה
326,1133,הלילך,כרמל מרכזי
327,810,הלל,הדר
328,904,הלל יפה,הדר
329,565,הלפרן ירמיהו,עין הים
330,1182,המאירי אביגדור,רמת שאול
331,360,המגינים,ציר עיר תחתית - ק. עליעזר
332,255,המולדת,קריית שמואל
333,277,המוסכים,אזור תעשיה
334,1086,המחנך נפחא,נוה יוסף
335,646,המים,כרמל מרכזי
336,922,המימוני,הדר
337,428,המכס,חיפה אל עתיקה
338,448,המלאכה,א.ת. חוף שמן
339,205,המסגר,מפרץ חיפה
340,144,המסורת,קריית שמואל
341,2511,המסילה,א.ת. חוף שמן
342,508,המעפילים,קריית אליעזר
343,686,המערות,כרמל מרכזי
344,158,המפוח,מפרץ חיפה
345,999,המפרי יוברט,עין הים
346,376,המרוניטים,ואדי ניסנאס
347,293,המשביר,מפרץ חיפה
348,845,הנביאים,הדר
349,950,הנגב,"יל""ג"
350,666,הנדיב,אחוזה
351,161,הנוטר,קריית חיים מזרחית
352,479,הנופר,מפרץ חיפה
353,607,הנטקה,רמת אלמוגי - מרכז חורב
354,353,הנמל,עיר תחתית
355,268,הנפח,מפרץ חיפה
356,154,הנציב,קריית שמואל
357,704,הנרקיסים,כרמל מערבי
358,635,הנשיא,ציר כרמל מרכזי - כרמל צרפתי
359,715,הנשר,כרמל
360,818,הס,הדר
361,817,הסביונים,כרמל מרכזי
362,289,הסדנה,מפרץ חיפה
363,276,הסולל,מפרץ חיפה
364,1061,הסחלב,גבעת דאונס
365,701,הסנה,כרמל מערבי
366,642,הספורט,כרמל מרכזי
367,206,העבודה,מפרץ חיפה
368,553,העוגן,עין הים
369,526,העליה השניה,בת גלים
370,261,העמלים,מפרץ חיפה
371,824,העמק,הדר
372,348,העצמאות,ציר עיר תחתית
373,122,הערבה,קריית שמואל
374,273,העתיד,א.ת. חוף שמן
375,150,הפוסקים,קריית שמואל
376,905,הפועל,הדר
377,157,הפלוגות,קריית חיים מזרחית
378,287,הפלס,מפרץ חיפה
379,793,הפרחים,רמת בן גוריון
380,513,הפרטיזנים,קריית אליעזר
381,409,הפרסים,המושבה הגרמנית
382,687,הצבי,כרמל מרכזי
383,1142,הצדף,שער העליה
384,1168,הצוללת דקר,רמת בן גוריון
385,688,הצופים,כרמל מרכזי
386,811,הציונות,ציר עיר תחתית - רמת התשבי
387,812,הצלבנים,כרמל צרפתי
388,633,הצלפים,רוממה
389,529,הצנחנים,בת גלים
390,1072,הצפירה,זיו
391,105,הקונגרס,קריית חיים מערבית
392,196,הקורנס,מפרץ חיפה
393,323,הקטר,ואדי סאליב
394,169,הקיבוצים,קריית חיים מזרחית
395,230,הקיטור,0
396,308,הקישון,עיר תחתית מזרח - הדר
397,527,הקלעים,בת גלים
398,908,הקנאים,הדר
399,797,הקשת,כרמל
400,141,הראה,קריית שמואל
401,772,הראל,רוממה
402,163,הראשונים,קריית חיים מזרחית
721,1500,הרב ניסים,קריית שמואל
403,699,הרדוף,כרמל מערבי
404,610,הרופא,אחוזה
405,986,הרותם,שער העליה
406,251,"הרי""ף",קריית שמואל
407,443,הרמן צבי,מפרץ חיפה
408,279,הרץ היינריך,א.ת. חוף שמן
409,886,הרצוג הרב,הדר
410,856,הרצל,הדר
411,850,הרצליה,הדר
412,703,הרקפות,כרמל מערבי
413,304,השומר,"עיר תחתית מזרח, הדר"
43,1399,השופט יעקב אזולאי,רמת אלון
414,572,השופט שלום קסאן,קריית שפרינצק
415,544,השחף,בת גלים
416,830,השחר,הדר
417,183,השיירה,קריית חיים מזרחית
420,931,השילוח,גאולה
418,207,השיש,מפרץ חיפה
419,1075,השל יהושע פרופ',יזרעאליה
421,837,השלום,הדר
422,201,השקד,קריית חיים מזרחית
423,538,השרון,בת גלים
424,227,התאנה,קריית חיים מזרחית
425,957,התבור,הדר
426,683,התור,כרמל מרכזי
427,551,התורן,עין הים
428,1025,התיכון,נוה שאנן
429,754,התמר,כרמל מערבי
430,153,התנאים,קריית שמואל
431,503,התקוה,קריית אליהו
432,232,התקומה,קריית חיים מערבית
433,718,התשבי,רמת התשבי
434,1000,התשעה,נוה יוסף
435,383,התשעים ושלש,ואדי ניסנאס
436,6525,ואדי סאליב,"עיר תחתית מזרח, ואדי סאליב"
437,636,וודגווד,כרמל מרכזי
438,283,ווט ג'יימס,מפרץ חיפה
439,1105,ווטסון ליונל,רמת בגין
440,644,וולפסון,כרמל מרכזי
441,961,וייז סטפן,רמת שאול
442,975,"ויינשל אברהם ד""ר",ציר רמת אשכול - חוף כרמל
443,259,וילבוש נחום,א.ת. חוף שמן
444,1392,וילנאי זאב,רמת אלון
445,831,וילנסקי,הדר
446,912,וינגייט,רמת הדר
447,1106,וינר יוסף,תל עמל
448,1202,"ויצ""ו",כרמליה
450,734,ויקטור הוגו,רמת שאול
451,611,ויתקין יוסף,אחוזה
452,1450,ולנברג ראול,רמת אשכול
453,129,ורבורג,ק. חיים מערבית - ק. שמואל
454,657,ורדיה,ורדיה
457,1124,זאב הים,כרמל
456,738,זאב ז'בוטינסקי,כרמל צרפתי
458,1134,זאב פרוש,חליסה
459,941,זבולון,"יל""ג"
460,2674,זוהר,נאות פרס
461,733,זולא אמיל,רמת שאול
455,556,זורס,קריית שפרינצק
462,1141,זורע מאיר (זרו),חוף הכרמל
463,707,זיוונית,כרמל מרכזי
464,164,זייד אלכסנדר,קריית חיים מזרחית
465,515,זילפה,קריית אליעזר
466,1125,זינגר מנדל,סביוני הכרמל
468,775,זמנהוף,גבעת דאונס
469,663,זרובבל,אחוזה
470,1507,"חב""ד",קריית שמואל
471,1040,חביבה רייך,רמות רמז
472,976,חבס הכהן ברכה,הדר
473,840,חברון,הדר
474,398,חדאד,ואדי ניסנאס
475,945,חדרה,הדר
476,1412,חוחית,רמת חן
477,1060,חולדה,כרמל מרכזי
478,177,חומה ומגדל,קריית חיים מזרחית
479,1010,חוסן,חליסה
480,779,חוף השנהב,הוד הכרמל
481,601,חורב,ציר אחוזה - רמת בגין
482,721,חורשה,רמת התשבי
483,1005,חזן יעקב,נוה שאנן
484,582,חזקיהו המלך,נוה דוד
485,309,חטיבת גולני,ציר עיר תחתית מזרח
486,1093,חטיבת כרמלי,נוה פז
487,799,חטיבת עודד,רוממה
488,1509,חיה מושקא,קריית שמואל
489,990,חיות פרץ,רמת שאול
490,895,חיים,הדר
491,1001,חיים ברלב,נוה יוסף
492,1262,חיים קסטן,מבואות דרומיים
493,537,חיל הים,בת גלים
494,209,חירם,א.ת. חוף שמן
495,596,חכים אליהו,רמת שאול
496,208,חכמי ישראל,קריית שמואל
497,210,חלוצי התעשיה,מפרץ חיפה
498,1224,חלמיש,רמת אלמוגי
499,211,חלץ,א.ת. חוף שמן
500,341,חמאם אל פשה,"קריית הממשלה ע""ש רבין"
501,2678,חמדה, 
502,680,חנה,כרמליה
503,1022,חניתה,"נוה שאנן, יזרעאליה"
504,1035,חנקין,ציר רוממה - נוה שאנן
505,1396,חסידי אומות העולם,רמת אלון
506,865,חסן שוקרי,הדר
507,231,חפצי בה,קריית חיים מערבית
508,1112,חצב,כרמל צרפתי
509,107,חרב לאת,קריית חיים מערבית
510,711,חרוב,כרמל מערבי
511,932,חרמון,גאולה
512,380,חשבון,עיר תחתית
513,464,חת נחום,"מת""מ"
514,1150,טבנקין יצחק,יזרעאליה
515,836,טבריה,הדר
516,973,טברסקי ג'ניה,רמת בגין
517,481,טהון יעקב,רמת גולדה
519,213,טובים,א.ת. חוף שמן
520,494,טוסקניני ארתור,רמת אשכול
521,1234,טופז,מפרץ חיפה
523,245,טרומן,קריית חיים מערבית
524,1031,טרומפלדור,נוה שאנן
525,726,טשרניחובסקי,ציר כרמל צרפתי - רמת שאול
526,188,יבנאלי שמואל,קריית חיים מזרחית
527,395,יבנה,ואדי ניסנאס
528,1391,יגאל אלון,רמת אלון
529,367,יגאל ידין,מפרץ חיפה
530,1067,יגור,נוה פז
531,249,יגיע כפיים,מפרץ חיפה
532,1012,יד לבנים,ציר נוה שאנן - תל עמל
533,577,יהואש המלך,נוה דוד
534,1205,יהודה,כרמליה
61,377,יהודה איתין,מפרץ חיפה
535,307,יהודה הלוי,עיר תחתית מזרח
783,1148,יהודה עמיחי,גבעת זמר
536,1132,יהודית,כרמליה
537,1260,יהורם גאון,גבעת זמר
538,899,יהושע,הדר
539,563,יהושפט המלך,נוה דוד
540,548,יואב,קריית אליעזר
541,857,יואל,הדר
542,315,יודפת,עיר תחתית מזרח
543,1082,יוחאי בן נון,חוף הכרמל
544,366,יוחנן הקדוש,ואדי ניסנאס
545,661,יוכבד,כרמל
546,194,יוליוס סימון,0
547,853,יונה,הדר
548,539,יונתן,בת גלים
549,1268,יונתן (ג'וני) הרדי,יצחק נבון
550,1258,יוסי בנאי,גבעת זמר
551,142,יוסיפון,קריית שמואל
552,955,יוסף (הגדם),הדר
553,628,יותם,אחוזה
554,1042,יחזקאל,רמות רמז
555,880,יחיאל,הדר
556,263,יחיעם,קריית חיים מערבית
557,944,"יל""ג","יל""ג"
558,947,"יל""ג דרומית","יל""ג"
559,946,"יל""ג צפונית","יל""ג"
560,1151,ילדי טהרן,סביוני הכרמל
561,1271,יעל רום,יצחק נבון
562,606,יערות,אחוזה
563,1256,יפה ירקוני,גבעת זמר
564,813,יפה נוף,כרמל צרפתי - מרכז הכרמל
565,354,יפו,ציר עיר תחתית
566,2679,יפעה,"מרכז הקונגרסים, נאות פרס"
567,664,יפתח,אחוזה
568,689,יצחק,כרמל מרכזי
569,421,יצחק שדה,המושבה הגרמנית
570,748,יציאת אירופה,קריית שפרינצק
571,176,יציב יצחק,קריית חיים מזרחית
572,392,יקוט,ואדי ניסנאס
573,1465,יקינתון,רמת אלמוגי
574,1261,ירדנה ארזי,גבעת זמר
575,1272,ירדנה כהן,יצחק נבון
576,896,ירושלים, הדר מרכז - התיאטרון העירוני
577,1087,"ירושלמי אליעזר ד""ר",נוה יוסף
578,637,ישורון,כרמל מרכזי
579,740,ישעיהו,כרמל צרפתי
580,1269,ישעיהו (שייע) שווגר,יצחק נבון
581,114,ישראלי בן ציון,קריית חיים מערבית
583,113,"כ""ץ יעקב הרב",קריית שמואל
584,189,כאהן יעקב,קריית חיים מזרחית
585,692,כבירים,כבאביר
586,101,כברי,קריית חיים מערבית
587,484,כגן רחל,רמת גולדה
588,981,כהן ברוך,שער העליה
589,386,כורי,ואדי ניסנאס
590,819,כורש,הדר
591,350,כטיב,0
592,370,כיאט,עיר תחתית
593,6020,כיכר אליזבט,רוממה
594,6002,כיכר דוד,נוה שאנן
596,6007,כיכר הרקפות,כרמל מערבי
597,736,כל ישראל חברים,רמת שאול
598,1172,כליל החורש,ורדיה
599,691,כלניות,כרמל מרכזי
600,1158,כלפון הרב,קריית אליעזר
601,906,כנרת,הדר
602,540,כספי יעקב,בת גלים
603,1103,"כספרי ד""ר",כרמל
582,789,כץ יאיר,כרמל מרכזי
604,1117,כצמן משה,נוה יוסף
605,471,כרוך אריה,רמת בגין
606,788,כרמי,רוממה
607,731,כרמיה,קריית שפרינצק
608,677,לאה,כרמליה
609,720,לאונרדו דה וינצי,רמת התשבי
610,465,לבון פנחס,הוד הכרמל
612,402,לבונטין,הדר
613,186,לביא שלמה,קריית חיים מזרחית
614,1501,לבנון ישראל,קרית שמואל
615,938,לברי מרק,גאולה
824,746,לואי פסטר,רמת שאול
616,878,לוד,הדר
617,417,לוחמי הגטאות,המושבה הגרמנית
618,1116,לוחמי חירות ישראל,0
619,649,לוטוס,כרמליה - כרמל מרכזי
620,128,לוי יוסף,מפרץ חיפה
621,253,לוי יצחק,קריית שמואל
622,272,לוין אריה הרב,קריית שמואל
623,882,לונץ,הדר
624,535,לוץ שרל,בת גלים
625,1088,לזרוס אמה,רמת גולדה
626,774,ליבריה,הוד הכרמל
627,238,ליויק,קריית חיים מערבית
628,626,ליטניס,אחוזה
629,182,לייב יפה,קריית חיים מזרחית
630,998,לינדנשטראוס אהרון,הוד הכרמל
631,593,לינקולן אברהם,אחוזה
632,378,ליפשיץ יוסף,עיר תחתית
633,612,לכיש,אחוזה
634,1163,"לנ""י",הוד הכרמל
635,524,לסין אברהם,קריית אליעזר
636,467,"לסקוב חיים רא""ל",רמת גולדה
637,447,לשם,מפרץ חיפה
638,359,מאי,עיר תחתית
639,362,מאיר רוטברג,המושבה הגרמנית
641,6009,מאירהוף,קריית אליעזר
642,143,מאלי יעקב משה,קריית שמואל
643,615,מאפו,אחוזה
644,794,מאציני,הוד הכרמל
645,1231,מבוא חיפה,"ציר חוף כרמל - מת""מ"
646,991,מבצע יונתן,ורדיה - רוממה
647,181,מבצע קדש,קריית חיים מזרחית
648,1471,מגדל אור,מפרץ חיפה
649,576,מגורשי ספרד,חוף הכרמל
650,640,מגידו,כרמל מרכזי
651,404,מדרגות דור,ואדי ניסנאס
652,867,מדרגות הנביאים,הדר
653,780,מדרגות זרובבל,אחוזה
654,406,מדרגות רשפון,ואדי ניסנאס
655,121,מו,קריית חיים מערבית
656,148,מוהליבר,קריית שמואל
657,820,מונטיפיורי,הדר
658,533,מונש,בת גלים
659,806,מוסול,הדר
660,742,מור,כבאביר
661,660,מורג,מפרץ חיפה
663,625,מוריה,ציר כרמל מרכזי - מרכז חורב
664,1171,מורן,ורדיה
665,226,מושלי יעקב,מפרץ חיפה
666,228,"מח""ל",קריית חיים מערבית
667,708,מחניים,כרמל מרכזי
668,647,מייבלום דורון,אחוזה
180,1511,מייק ברנט,קרית אליעזר
669,619,"מיכ""ל המשורר",אחוזה
670,930,מיכאל,גאולה
671,321,מילר נחום,ואדי סאליב
672,1073,מימון הרב,נוה שאנן
673,826,מירון,הדר
674,369,מכליס משה אהרון,עיר תחתית
675,1046,"מל""ל",זיו
676,902,מלצ'ט,הדר
677,241,מנגר איציק,קריית חיים מערבית
678,1050,מנדלי מוכר ספרים,"נוה שאנן, זיו"
679,887,מנחם,הדר
680,670,מנילה,הוד הכרמל
681,363,מנצור,עיר תחתית
682,834,מסדה,הדר
683,668,מעברות,אחוזה
684,645,מעין,כרמל מרכזי
685,338,מעלה השחרור,הדר
686,963,מעלות האומן,הדר
687,750,מעלות הבוצרים,כרמל מרכזי
688,1030,מצפה,נוה שאנן
689,965,מקור ברוך,רמת ויז'ניץ
690,192,"מקלף מרדכי רא""ל",מפרץ חיפה
691,567,מרגולין פנחס,בת גלים
692,671,מרגלית,אחוזה
693,1223,מרווה,רמות רמז
694,312,מרחביה,עיר תחתית מזרח
696,962,מרכוס הרב,ואדי סאליב
697,786,מרסיי,קריית שפרינצק
698,282,מרקוני גוליאלמו,מפרץ חיפה
699,599,משאש הרב,נוה יוסף
700,260,משה חיים שפירא,קריית שמואל
701,638,משמר הגבול,רוממה
702,234,משמר העמק,קריית חיים מערבית
703,365,נאמנים,עיר תחתית
