block,parcel,neighborhood,priority,method,support
10444,2445,קריית שמואל,1,parcel_area,1
10444,2446,קריית שמואל,1,parcel_area,1
10444,2523,קריית שמואל,1,parcel_area,1
10444,2524,קריית שמואל,1,parcel_area,1
10444,2526,קריית שמואל,1,parcel_area,1
10444,2527,קריית שמואל,1,parcel_area,1
10444,44,קריית חיים מערבית,1,parcel_area,1
10444,456,קריית שמואל,1,parcel_area,1
10444,,קריית שמואל,2,block_area_majority,1
10680,1,רמת בגין,1,parcel_area,1
10680,10,רמת בגין,1,parcel_area,1
10680,100,רמת בגין,1,parcel_area,1
10680,101,רמת בגין,1,parcel_area,1
10680,102,רמת בגין,1,parcel_area,1
10680,103,רמת בגין,1,parcel_area,1
10680,11,רמת בגין,1,parcel_area,1
10680,110,רמת בגין,1,parcel_area,0.666
10680,113,רמת בגין,1,parcel_area,1
10680,12,רמת בגין,1,parcel_area,1
10680,13,רמת בגין,1,parcel_area,1
10680,14,רמת בגין,1,parcel_area,1
10680,15,רמת בגין,1,parcel_area,1
10680,16,רמת בגין,1,parcel_area,1
10680,17,רמת בגין,1,parcel_area,1
10680,18,רמת בגין,1,parcel_area,1
10680,19,רמת בגין,1,parcel_area,1
10680,2,רמת בגין,1,parcel_area,1
10680,20,רמת בגין,1,parcel_area,1
10680,21,רמת בגין,1,parcel_area,1
10680,22,רמת בגין,1,parcel_area,1
10680,23,רמת בגין,1,parcel_area,1
10680,24,רמת בגין,1,parcel_area,1
10680,25,רמת בגין,1,parcel_area,1
10680,26,רמת בגין,1,parcel_area,1
10680,27,רמת בגין,1,parcel_area,1
10680,28,רמת בגין,1,parcel_area,1
10680,29,רמת בגין,1,parcel_area,1
10680,3,רמת בגין,1,parcel_area,1
10680,30,רמת בגין,1,parcel_area,1
10680,31,רמת בגין,1,parcel_area,1
10680,32,רמת בגין,1,parcel_area,1
10680,33,רמת בגין,1,parcel_area,1
10680,34,רמת בגין,1,parcel_area,1
10680,35,רמת בגין,1,parcel_area,1
10680,36,רמת בגין,1,parcel_area,1
10680,37,רמת בגין,1,parcel_area,1
10680,38,רמת בגין,1,parcel_area,1
10680,39,רמת בגין,1,parcel_area,1
10680,4,רמת בגין,1,parcel_area,1
10680,40,רמת בגין,1,parcel_area,1
10680,41,רמת בגין,1,parcel_area,1
10680,42,רמת בגין,1,parcel_area,1
10680,43,רמת בגין,1,parcel_area,1
10680,44,רמת בגין,1,parcel_area,1
10680,45,רמת בגין,1,parcel_area,1
10680,46,רמת בגין,1,parcel_area,1
10680,47,רמת בגין,1,parcel_area,1
10680,48,רמת בגין,1,parcel_area,1
10680,49,רמת בגין,1,parcel_area,1
10680,5,רמת בגין,1,parcel_area,1
10680,50,רמת בגין,1,parcel_area,1
10680,51,רמת בגין,1,parcel_area,1
10680,52,רמת בגין,1,parcel_area,1
10680,56,רמת בגין,1,parcel_area,1
10680,57,רמת בגין,1,parcel_area,1
10680,58,רמת בגין,1,parcel_area,1
10680,59,רמת בגין,1,parcel_area,1
10680,6,רמת בגין,1,parcel_area,1
10680,60,רמת בגין,1,parcel_area,1
10680,61,רמת בגין,1,parcel_area,1
10680,62,רמת בגין,1,parcel_area,1
10680,63,רמת בגין,1,parcel_area,1
10680,64,רמת בגין,1,parcel_area,1
10680,65,רמת בגין,1,parcel_area,1
10680,66,רמת בגין,1,parcel_area,1
10680,67,רמת בגין,1,parcel_area,1
10680,68,רמת בגין,1,parcel_area,1
10680,69,רמת בגין,1,parcel_area,1
10680,7,רמת בגין,1,parcel_area,1
10680,70,רמת בגין,1,parcel_area,1
10680,71,רמת בגין,1,parcel_area,1
10680,72,רמת בגין,1,parcel_area,1
10680,73,רמת בגין,1,parcel_area,1
10680,74,רמת בגין,1,parcel_area,1
10680,75,רמת בגין,1,parcel_area,1
10680,76,רמת בגין,1,parcel_area,1
10680,77,רמת בגין,1,parcel_area,1
10680,78,רמת בגין,1,parcel_area,1
10680,79,רמת בגין,1,parcel_area,1
10680,8,רמת בגין,1,parcel_area,1
10680,80,רמת בגין,1,parcel_area,1
10680,81,רמת בגין,1,parcel_area,1
10680,82,רמת בגין,1,parcel_area,1
10680,83,רמת בגין,1,parcel_area,1
10680,84,רמת בגין,1,parcel_area,1
10680,85,רמת בגין,1,parcel_area,1
10680,86,רמת בגין,1,parcel_area,1
10680,87,רמת בגין,1,parcel_area,1
10680,88,רמת בגין,1,parcel_area,1
10680,89,רמת בגין,1,parcel_area,1
10680,9,רמת בגין,1,parcel_area,1
10680,90,רמת בגין,1,parcel_area,1
10680,91,רמת בגין,1,parcel_area,1
10680,92,רמת בגין,1,parcel_area,1
10680,93,רמת בגין,1,parcel_area,1
10680,94,רמת בגין,1,parcel_area,1
10680,95,רמת בגין,1,parcel_area,1
10680,96,רמת בגין,1,parcel_area,1
10680,97,רמת בגין,1,parcel_area,1
10680,98,רמת בגין,1,parcel_area,1
10680,99,רמת בגין,1,parcel_area,1
10680,,רמת בגין,2,block_area_majority,0.938
10681,1,רמת בגין,1,parcel_area,1
10681,10,רמת בגין,1,parcel_area,1
10681,100,הוד הכרמל,1,parcel_area,0.945
10681,101,רמת בגין,1,parcel_area,1
10681,11,רמת בגין,1,parcel_area,1
10681,12,רמת בגין,1,parcel_area,1
10681,13,רמת בגין,1,parcel_area,1
10681,14,רמת בגין,1,parcel_area,1
10681,15,רמת בגין,1,parcel_area,1
10681,16,רמת בגין,1,parcel_area,1
10681,17,רמת בגין,1,parcel_area,1
10681,18,רמת בגין,1,parcel_area,1
10681,19,רמת בגין,1,parcel_area,1
10681,2,רמת בגין,1,parcel_area,1
10681,20,רמת בגין,1,parcel_area,1
10681,21,רמת בגין,1,parcel_area,1
10681,22,רמת בגין,1,parcel_area,1
10681,23,רמת בגין,1,parcel_area,1
10681,24,רמת בגין,1,parcel_area,1
10681,25,רמת בגין,1,parcel_area,1
10681,26,רמת בגין,1,parcel_area,1
10681,27,רמת בגין,1,parcel_area,1
10681,28,רמת בגין,1,parcel_area,1
10681,29,רמת בגין,1,parcel_area,1
10681,3,רמת בגין,1,parcel_area,1
10681,30,רמת בגין,1,parcel_area,1
10681,31,רמת בגין,1,parcel_area,1
10681,32,רמת בגין,1,parcel_area,1
10681,33,רמת בגין,1,parcel_area,1
10681,34,רמת בגין,1,parcel_area,1
10681,35,רמת בגין,1,parcel_area,1
10681,36,רמת בגין,1,parcel_area,1
10681,37,רמת בגין,1,parcel_area,1
10681,38,רמת בגין,1,parcel_area,1
10681,39,רמת בגין,1,parcel_area,1
10681,4,רמת בגין,1,parcel_area,1
10681,40,רמת בגין,1,parcel_area,1
10681,41,רמת בגין,1,parcel_area,1
10681,42,רמת בגין,1,parcel_area,1
10681,43,רמת בגין,1,parcel_area,1
10681,44,רמת בגין,1,parcel_area,1
10681,45,רמת בגין,1,parcel_area,1
10681,46,רמת בגין,1,parcel_area,1
10681,47,רמת בגין,1,parcel_area,1
10681,48,רמת בגין,1,parcel_area,1
10681,49,רמת בגין,1,parcel_area,1
10681,5,רמת בגין,1,parcel_area,1
10681,50,רמת בגין,1,parcel_area,1
10681,51,רמת בגין,1,parcel_area,1
10681,52,רמת בגין,1,parcel_area,1
10681,53,רמת בגין,1,parcel_area,1
10681,54,רמת בגין,1,parcel_area,1
10681,55,רמת בגין,1,parcel_area,1
10681,56,רמת בגין,1,parcel_area,1
10681,57,רמת בגין,1,parcel_area,1
10681,58,רמת בגין,1,parcel_area,1
10681,59,רמת בגין,1,parcel_area,1
10681,6,רמת בגין,1,parcel_area,1
10681,60,רמת בגין,1,parcel_area,1
10681,61,רמת בגין,1,parcel_area,1
10681,62,רמת בגין,1,parcel_area,1
10681,63,רמת בגין,1,parcel_area,1
10681,64,רמת בגין,1,parcel_area,1
10681,65,רמת בגין,1,parcel_area,1
10681,66,רמת בגין,1,parcel_area,1
10681,67,רמת בגין,1,parcel_area,1
10681,68,רמת בגין,1,parcel_area,1
10681,69,רמת בגין,1,parcel_area,1
10681,7,רמת בגין,1,parcel_area,1
10681,70,רמת בגין,1,parcel_area,1
10681,71,רמת בגין,1,parcel_area,1
10681,72,רמת בגין,1,parcel_area,1
10681,73,רמת בגין,1,parcel_area,1
10681,74,רמת בגין,1,parcel_area,1
10681,75,רמת בגין,1,parcel_area,1
10681,76,רמת בגין,1,parcel_area,1
10681,77,רמת בגין,1,parcel_area,1
10681,78,רמת בגין,1,parcel_area,1
10681,79,רמת בגין,1,parcel_area,1
10681,8,רמת בגין,1,parcel_area,1
10681,80,רמת בגין,1,parcel_area,1
10681,81,רמת בגין,1,parcel_area,1
10681,82,רמת בגין,1,parcel_area,1
10681,83,רמת בגין,1,parcel_area,1
10681,84,רמת בגין,1,parcel_area,1
10681,85,רמת בגין,1,parcel_area,1
10681,86,רמת בגין,1,parcel_area,1
10681,87,רמת בגין,1,parcel_area,1
10681,88,רמת בגין,1,parcel_area,1
10681,89,רמת בגין,1,parcel_area,1
10681,9,רמת בגין,1,parcel_area,1
10681,90,רמת בגין,1,parcel_area,1
10681,91,רמת בגין,1,parcel_area,1
10681,92,רמת בגין,1,parcel_area,1
10681,93,רמת בגין,1,parcel_area,1
10681,94,רמת בגין,1,parcel_area,1
10681,95,רמת בגין,1,parcel_area,1
10681,96,רמת בגין,1,parcel_area,1
10681,97,רמת בגין,1,parcel_area,1
10681,98,רמת בגין,1,parcel_area,0.684
10681,99,רמת בגין,1,parcel_area,1
10681,,רמת בגין,2,block_area_majority,0.834
10682,1,רמת בגין,1,parcel_area,1
10682,10,רמת בגין,1,parcel_area,1
10682,11,רמת בגין,1,parcel_area,1
10682,12,רמת בגין,1,parcel_area,1
10682,13,רמת בגין,1,parcel_area,1
10682,14,רמת בגין,1,parcel_area,1
10682,15,רמת בגין,1,parcel_area,1
10682,16,רמת בגין,1,parcel_area,1
10682,17,רמת בגין,1,parcel_area,1
10682,18,רמת בגין,1,parcel_area,1
10682,19,רמת בגין,1,parcel_area,1
10682,2,רמת בגין,1,parcel_area,1
10682,20,רמת בגין,1,parcel_area,1
10682,21,רמת בגין,1,parcel_area,1
10682,22,רמת בגין,1,parcel_area,1
10682,23,רמת בגין,1,parcel_area,1
10682,24,רמת בגין,1,parcel_area,1
10682,25,רמת בגין,1,parcel_area,1
10682,26,רמת בגין,1,parcel_area,1
10682,27,רמת בגין,1,parcel_area,1
10682,28,רמת בגין,1,parcel_area,1
10682,29,רמת בגין,1,parcel_area,1
10682,3,רמת בגין,1,parcel_area,1
10682,30,רמת בגין,1,parcel_area,1
10682,31,רמת בגין,1,parcel_area,1
10682,32,רמת בגין,1,parcel_area,1
10682,33,רמת בגין,1,parcel_area,1
10682,34,רמת בגין,1,parcel_area,1
10682,35,רמת בגין,1,parcel_area,1
10682,36,רמת בגין,1,parcel_area,1
10682,37,רמת בגין,1,parcel_area,1
10682,38,רמת בגין,1,parcel_area,1
10682,39,רמת בגין,1,parcel_area,1
10682,4,רמת בגין,1,parcel_area,1
10682,40,רמת בגין,1,parcel_area,1
10682,41,רמת בגין,1,parcel_area,1
10682,42,רמת בגין,1,parcel_area,1
10682,43,רמת בגין,1,parcel_area,1
10682,44,רמת בגין,1,parcel_area,1
10682,45,רמת בגין,1,parcel_area,1
10682,46,רמת בגין,1,parcel_area,1
10682,47,רמת בגין,1,parcel_area,1
10682,48,רמת בגין,1,parcel_area,1
10682,49,רמת בגין,1,parcel_area,1
10682,5,רמת בגין,1,parcel_area,1
10682,50,רמת בגין,1,parcel_area,1
10682,51,רמת בגין,1,parcel_area,1
10682,52,רמת בגין,1,parcel_area,1
10682,53,רמת בגין,1,parcel_area,1
10682,54,רמת בגין,1,parcel_area,1
10682,55,רמת בגין,1,parcel_area,1
10682,56,רמת בגין,1,parcel_area,1
10682,57,רמת בגין,1,parcel_area,1
10682,58,רמת בגין,1,parcel_area,1
10682,59,רמת בגין,1,parcel_area,1
10682,6,רמת בגין,1,parcel_area,1
10682,60,רמת בגין,1,parcel_area,1
10682,61,רמת בגין,1,parcel_area,1
10682,62,רמת בגין,1,parcel_area,1
10682,63,רמת בגין,1,parcel_area,1
10682,64,רמת בגין,1,parcel_area,1
10682,65,רמת בגין,1,parcel_area,1
10682,66,רמת בגין,1,parcel_area,1
10682,67,רמת בגין,1,parcel_area,1
10682,68,רמת בגין,1,parcel_area,1
10682,69,רמת בגין,1,parcel_area,1
10682,7,רמת בגין,1,parcel_area,1
10682,70,רמת בגין,1,parcel_area,1
10682,71,רמת בגין,1,parcel_area,1
10682,72,רמת בגין,1,parcel_area,1
10682,73,רמת בגין,1,parcel_area,1
10682,74,רמת בגין,1,parcel_area,1
10682,75,רמת בגין,1,parcel_area,1
10682,76,רמת בגין,1,parcel_area,1
10682,77,רמת בגין,1,parcel_area,1
10682,78,רמת בגין,1,parcel_area,1
10682,79,רמת בגין,1,parcel_area,1
10682,8,רמת בגין,1,parcel_area,1
10682,80,רמת בגין,1,parcel_area,1
10682,81,רמת בגין,1,parcel_area,0.99
10682,82,הוד הכרמל,1,parcel_area,0.521
10682,83,רמת בגין,1,parcel_area,1
10682,84,רמת בגין,1,parcel_area,0.815
10682,9,רמת בגין,1,parcel_area,1
10682,,רמת בגין,2,block_area_majority,0.874
10684,1,בתי עלמין,1,parcel_area,0.564
10684,10,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.784
10684,100,אחוזה,1,parcel_area,1
10684,101,אחוזה,1,parcel_area,1
10684,102,אחוזה,1,parcel_area,1
10684,103,אחוזה,1,parcel_area,1
10684,104,אחוזה,1,parcel_area,1
10684,105,אחוזה,1,parcel_area,1
10684,106,אחוזה,1,parcel_area,1
10684,107,אחוזה,1,parcel_area,1
10684,108,אחוזה,1,parcel_area,1
10684,109,אחוזה,1,parcel_area,1
10684,11,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.796
10684,110,אחוזה,1,parcel_area,1
10684,111,אחוזה,1,parcel_area,1
10684,112,אחוזה,1,parcel_area,1
10684,113,אחוזה,1,parcel_area,1
10684,114,אחוזה,1,parcel_area,1
10684,115,אחוזה,1,parcel_area,1
10684,116,אחוזה,1,parcel_area,1
10684,117,אחוזה,1,parcel_area,1
10684,12,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,13,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,14,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,15,אחוזה,1,parcel_area,0.814
10684,16,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,17,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,18,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,19,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,2,בתי עלמין,1,parcel_area,1
10684,20,אחוזה,1,parcel_area,0.731
10684,21,אחוזה,1,parcel_area,0.754
10684,22,אחוזה,1,parcel_area,0.97
10684,23,אחוזה,1,parcel_area,1
10684,24,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.965
10684,25,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,26,אחוזה,1,parcel_area,1
10684,27,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.81
10684,28,בתי עלמין,1,parcel_area,1
10684,29,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.863
10684,3,בתי עלמין,1,parcel_area,0.746
10684,30,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.995
10684,31,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.878
10684,32,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.726
10684,33,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.568
10684,34,אחוזה,1,parcel_area,0.583
10684,35,אחוזה,1,parcel_area,0.743
10684,36,אחוזה,1,parcel_area,0.948
10684,37,אחוזה,1,parcel_area,1
10684,38,אחוזה,1,parcel_area,1
10684,39,אחוזה,1,parcel_area,1
10684,4,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.966
10684,40,אחוזה,1,parcel_area,1
10684,41,אחוזה,1,parcel_area,1
10684,42,אחוזה,1,parcel_area,1
10684,43,אחוזה,1,parcel_area,1
10684,44,אחוזה,1,parcel_area,1
10684,45,אחוזה,1,parcel_area,1
10684,46,אחוזה,1,parcel_area,1
10684,47,אחוזה,1,parcel_area,1
10684,48,אחוזה,1,parcel_area,1
10684,49,אחוזה,1,parcel_area,1
10684,5,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,50,אחוזה,1,parcel_area,1
10684,51,אחוזה,1,parcel_area,1
10684,52,אחוזה,1,parcel_area,1
10684,53,אחוזה,1,parcel_area,1
10684,54,אחוזה,1,parcel_area,1
10684,55,אחוזה,1,parcel_area,1
10684,56,אחוזה,1,parcel_area,1
10684,57,אחוזה,1,parcel_area,1
10684,58,אחוזה,1,parcel_area,1
10684,59,אחוזה,1,parcel_area,1
10684,6,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,60,אחוזה,1,parcel_area,1
10684,61,אחוזה,1,parcel_area,1
10684,62,אחוזה,1,parcel_area,1
10684,63,אחוזה,1,parcel_area,1
10684,64,אחוזה,1,parcel_area,1
10684,65,אחוזה,1,parcel_area,1
10684,66,אחוזה,1,parcel_area,1
10684,67,אחוזה,1,parcel_area,1
10684,68,אחוזה,1,parcel_area,1
10684,69,אחוזה,1,parcel_area,1
10684,7,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,70,אחוזה,1,parcel_area,1
10684,71,אחוזה,1,parcel_area,1
10684,72,אחוזה,1,parcel_area,1
10684,73,אחוזה,1,parcel_area,1
10684,74,אחוזה,1,parcel_area,1
10684,75,אחוזה,1,parcel_area,1
10684,76,אחוזה,1,parcel_area,1
10684,77,אחוזה,1,parcel_area,1
10684,78,אחוזה,1,parcel_area,1
10684,79,אחוזה,1,parcel_area,1
10684,8,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.905
10684,80,אחוזה,1,parcel_area,1
10684,81,אחוזה,1,parcel_area,1
10684,82,אחוזה,1,parcel_area,1
10684,83,אחוזה,1,parcel_area,1
10684,84,אחוזה,1,parcel_area,1
10684,85,אחוזה,1,parcel_area,1
10684,86,אחוזה,1,parcel_area,1
10684,87,אחוזה,1,parcel_area,1
10684,88,אחוזה,1,parcel_area,1
10684,89,אחוזה,1,parcel_area,1
10684,9,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
10684,90,אחוזה,1,parcel_area,1
10684,91,אחוזה,1,parcel_area,1
10684,92,אחוזה,1,parcel_area,1
10684,93,אחוזה,1,parcel_area,1
10684,94,אחוזה,1,parcel_area,1
10684,95,אחוזה,1,parcel_area,1
10684,96,אחוזה,1,parcel_area,1
10684,97,אחוזה,1,parcel_area,1
10684,98,אחוזה,1,parcel_area,1
10684,99,אחוזה,1,parcel_area,1
10684,,אחוזה,2,block_area_majority,0.581
10685,15,רמת אשכול,1,parcel_area,0.665
10685,16,רמת אשכול,1,parcel_area,1
10685,17,רמת אשכול,1,parcel_area,0.87
10685,19,רמת אשכול,1,parcel_area,1
10685,20,רמת אשכול,1,parcel_area,0.895
10685,27,רמת אשכול,1,parcel_area,1
10685,28,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,0.584
10685,29,רמת אשכול,1,parcel_area,1
10685,3,רמת אשכול,1,parcel_area,1
10685,31,רמת אשכול,1,parcel_area,0.995
10685,33,רמת אשכול,1,parcel_area,0.922
10685,4,רמת אשכול,1,parcel_area,1
10685,5,רמת אשכול,1,parcel_area,1
10685,6,רמת אשכול,1,parcel_area,1
10685,9,רמת אשכול,1,parcel_area,0.851
10685,,רמת אשכול,2,block_area_majority,0.945
10686,101,הוד הכרמל,1,parcel_area,1
10686,102,הוד הכרמל,1,parcel_area,1
10686,105,רמת בגין,1,parcel_area,1
10686,18,רמת בגין,1,parcel_area,1
10686,57,הוד הכרמל,1,parcel_area,1
10686,93,הוד הכרמל,1,parcel_area,1
10686,94,הוד הכרמל,1,parcel_area,1
10686,,הוד הכרמל,2,block_area_majority,1
10688,108,הוד הכרמל,1,parcel_area,1
10688,74,הוד הכרמל,1,parcel_area,1
10688,75,הוד הכרמל,1,parcel_area,1
10688,,הוד הכרמל,2,block_area_majority,1
10726,136,"מרכז הקונגרסים, נאות פרס, יצחק נבון",1,parcel_area,1
